Date,High,Low,Open,Close,Volume,Name,Day,Month,Year
13-01-20,19150.95508,18521.86133,19047.17188,18921.5957,1.33292E+11,1,13,1,2020
14-01-20,25802.45703,18955.94531,18930.17969,24817.95703,4.6894E+11,1,14,1,2020
15-01-20,25376.93945,22561.60938,24708.40039,24003.39453,3.70639E+11,1,15,1,2020
16-01-20,24212.71875,22107.12695,24023.67773,23130,2.59197E+11,1,16,1,2020
17-01-20,26974.13086,22777.95117,23158.14258,26071.40234,3.64357E+11,1,17,1,2020
18-01-20,28338.81641,23787.94531,26102.08203,24092.07422,4.2923E+11,1,18,1,2020
19-01-20,25730.00781,22956.68945,24041.20117,24036.13672,3.16751E+11,1,19,1,2020
20-01-20,24994.42773,23107.56445,24022.94141,24423.54492,2.38802E+11,1,20,1,2020
21-01-20,24666.46289,23824.17773,24402.45508,24444.76172,1.89262E+11,1,21,1,2020
22-01-20,25031.11133,24150.02148,24441.07617,24691.48047,1.75529E+11,1,22,1,2020
23-01-20,24851.32227,22775.125,24710.4375,23173.1543,1.94192E+11,1,23,1,2020
24-01-20,23350.20703,21394.51758,23194.53711,22789.98828,2.38718E+11,1,24,1,2020
25-01-20,22781.46875,21789.06641,22779.66992,22207.78906,1.54761E+11,1,25,1,2020
26-01-20,24803.42969,22007.81055,22181.9375,24750.26758,2.27682E+11,1,26,1,2020
27-01-20,26783.81055,24759.64063,24742.57813,25911.29492,2.94654E+11,1,27,1,2020
28-01-20,27269.05469,25682.33984,25911.56641,26990.07617,2.79002E+11,1,28,1,2020
29-01-20,28080.69141,26976.42969,27007.45703,27206.44336,2.84316E+11,1,29,1,2020
30-01-20,28309.88672,26733.88672,27159.24023,28125.01563,2.90253E+11,1,30,1,2020
31-01-20,28156.56055,26211.18359,28114.85547,26839.97852,2.62225E+11,1,31,1,2020
01-02-20,27697.68164,26783.62109,26816.88477,27242.07422,2.30119E+11,1,1,2,2020
02-02-20,27769.16992,26512.29688,27187.74219,27046.14063,2.32104E+11,1,2,2,2020
03-02-20,27777.50391,26808.01563,27022.13477,27379.80273,2.43238E+11,1,3,2,2020
04-02-20,27530.97852,26642.00195,27371.20898,27064.46289,2.23544E+11,1,4,2,2020
05-02-20,31472.99219,26992.19922,27072.92188,31466.56055,3.7653E+11,1,5,2,2020
06-02-20,31796.01563,30502.48242,31490.27539,31571.96484,3.46572E+11,1,6,2,2020
07-02-20,32469.16211,31034.33008,31556.29688,31449.4043,3.19049E+11,1,7,2,2020
08-02-20,32273.68164,30594.5918,31445.67773,31717.79688,3.1607E+11,1,8,2,2020
09-02-20,32755.08008,31376.33398,31686.47266,32168.77148,3.22102E+11,1,9,2,2020
10-02-20,32651.77344,31305.78516,32175.78906,32291.10742,3.29095E+11,1,10,2,2020
11-02-20,33057.63281,31495.91406,32298.625,32880.92578,3.24761E+11,1,11,2,2020
12-02-20,34203.05078,32879.13672,32874.80469,33904.66406,3.59765E+11,1,12,2,2020
13-02-20,34412.95313,32878.14063,33874.95703,33808.67578,3.5698E+11,1,13,2,2020
14-02-20,35264.76953,33419.72266,33819.72656,35131.19922,3.62301E+11,1,14,2,2020
15-02-20,35239.17188,31015.9375,35126.88281,31304.81641,3.71255E+11,1,15,2,2020
16-02-20,32572.5918,28169.55859,31391.54688,29751.38477,3.89795E+11,1,16,2,2020
17-02-20,29813.4375,26569.66992,29687.6875,29210.57813,4.8551E+11,1,17,2,2020
18-02-20,30315.54297,27757.55859,29231.29688,29985.10547,4.21412E+11,1,18,2,2020
19-02-20,30168.49805,27128.92969,30001.06445,27376.23828,3.25318E+11,1,19,2,2020
20-02-20,27749.23828,26023.08594,27310.41797,26774.72266,4.95328E+11,1,20,2,2020
21-02-20,27676.19727,26551.12695,26760.79688,27273.91406,3.4766E+11,1,21,2,2020
22-02-20,27341.83789,26586.33594,27303.19922,26873.92773,2.53559E+11,1,22,2,2020
23-02-20,28871.46875,26819.39648,26868.47656,28871.46875,2.99231E+11,1,23,2,2020
24-02-20,29499.94922,26467.24023,28854.51172,27204.23633,3.54063E+11,1,24,2,2020
25-02-20,27198.38477,25022.49219,27174.33984,25443.89844,3.31141E+11,1,25,2,2020
26-02-20,25808.64844,22039.94531,25443.98047,22694.93164,4.8478E+11,1,26,2,2020
27-02-20,23863.95313,22127.0918,22795.44141,23177.64258,3.79106E+11,1,27,2,2020
28-02-20,23575.69336,21785.21289,23165.85352,22636.06641,3.70838E+11,1,28,2,2020
29-02-20,23173.21289,22151.39648,22657.56836,22253.44531,2.76832E+11,1,29,2,2020
01-03-20,23234.2793,22076.71094,22248.70313,22612.67773,2.9223E+11,1,1,3,2020
02-03-20,24664.26563,22484.25391,22614.10938,24391.91602,1.43461E+12,1,2,3,2020
03-03-20,24588.43945,23638.11328,24400.50586,24174.48438,2.17153E+12,1,3,3,2020
04-03-20,24276.70508,23062.21875,24195.84375,23463.28516,7.51748E+11,1,4,3,2020
05-03-20,25316.24023,23468.10352,23468.10352,24907.41797,3.51314E+11,1,5,3,2020
06-03-20,25996.63477,24673.80273,24918.49414,25817.07031,3.59346E+11,1,6,3,2020
07-03-20,25871.90234,24450.4043,25838.03516,24481.40625,2.86843E+11,1,7,3,2020
08-03-20,24505.49023,20315.11133,24496.71484,20439.8125,3.65623E+11,1,8,3,2020
09-03-20,20658.85352,18953.04102,20422.18164,20335.76172,4.23718E+11,1,9,3,2020
10-03-20,20456.46875,19630.41406,20358.83203,20168.74414,3.02156E+11,1,10,3,2020
11-03-20,20157.56055,18752.9043,20178.33203,19794.03125,2.69525E+11,1,11,3,2020
12-03-20,19798.64648,11229.42383,19786.4668,11331.11035,3.92079E+11,1,12,3,2020
13-03-20,13864.08203,10507.37695,11327.5127,13053.37305,5.49588E+11,1,13,3,2020
14-03-20,13323.30176,12207.18652,13099.95703,12394.39844,2.61968E+11,1,14,3,2020
15-03-20,13859.30078,12278.69238,12392.59863,13181.77148,2.21783E+11,1,15,3,2020
16-03-20,13535.82129,11290.50488,13173.31152,12686.75781,3.03135E+11,1,16,3,2020
17-03-20,13692.55859,12672.54102,12710.0918,13348.64258,2.45335E+11,1,17,3,2020
18-03-20,13521.16406,12725.05469,13308.08301,13428.79004,2.23748E+11,1,18,3,2020
19-03-20,17224.74609,13335.50879,13416.22559,16630.58789,3.91486E+11,1,19,3,2020
20-03-20,18216.3457,14997.43652,16646.28125,16215.37109,4.26813E+11,1,20,3,2020
21-03-20,17025.60742,15827.82422,16213.29297,16589.14258,3.14435E+11,1,21,3,2020
22-03-20,17376.55273,15350.7207,16606.65039,15384.74707,3.03352E+11,1,22,3,2020
23-03-20,16832.87109,15281.20898,15373.85352,16794.35352,3.20676E+11,1,23,3,2020
24-03-20,17449.97852,16614.39453,16832.16992,17261.83984,2.90316E+11,1,24,3,2020
25-03-20,17369.30664,16422.70898,17273.94141,16719.51953,2.62177E+11,1,25,3,2020
26-03-20,16949.51172,16726.23438,16726.23438,16949.60742,2.51413E+11,1,26,3,2020
27-03-20,17304.48242,16246.94141,16959.54688,16291.77051,2.45134E+11,1,27,3,2020
28-03-20,16273.19727,15382.53711,16273.19727,16040.28613,2.56065E+11,1,28,3,2020
29-03-20,16175.1875,15505.81836,16033.55469,15566.60352,2.07207E+11,1,29,3,2020
29-03-20,16899.66602,15562.60449,15559.00195,16706.18945,2.40854E+11,1,29,3,2020
30-03-20,16857.75781,16423.71094,16681.61328,16545.64453,2.20995E+11,1,30,3,2020
31-03-20,17156.86914,16340.75391,16518.24414,17156.86914,2.44892E+11,1,31,3,2020
01-04-20,18517.29883,17046.99023,17147.16406,17721.62891,3.21849E+11,1,1,4,2020
02-04-20,18393.7832,17639.35547,17711.01953,18020.85547,2.83764E+11,1,2,4,2020
03-04-20,18288.74805,17812.09766,18024.58594,18250.57227,2.40415E+11,1,3,4,2020
04-04-20,18318.31836,17434.27344,18245.41992,17687.52539,2.28759E+11,1,4,4,2020
05-04-20,19453.38281,17664.05078,17682.64453,19443.46094,3.4099E+11,1,5,4,2020
06-04-20,19806.72656,18852.74609,19469.10938,19066.87695,3.13298E+11,1,6,4,2020
07-04-20,21148.01172,18934.45703,19066.52539,20225.96484,4.17084E+11,1,7,4,2020
08-04-20,20703.96094,19331.01953,20238.78125,19545.68555,2.8924E+11,1,8,4,2020
09-04-20,19665.56836,17431.35742,19539.76367,17756.04297,3.20653E+11,1,9,4,2020
10-04-20,18236.4707,17054.61328,17751.69336,17677.01953,2.57105E+11,1,10,4,2020
11-04-20,18423.13867,17419.46875,17695.30273,17961.80469,2.51561E+11,1,11,4,2020
12-04-20,17975.55273,16648.64258,17975.55273,17070.66602,2.87733E+11,1,12,4,2020
13-04-20,17387.17969,16842.19727,17086.99219,16862.19922,2.64975E+11,1,13,4,2020
14-04-20,17086.74023,16445.96484,16871.84375,16486.4043,2.22877E+11,1,14,4,2020
15-04-20,18309.36523,16031.88574,16492.47656,18107.51953,3.45419E+11,1,15,4,2020
17-04-20,18802.85742,17864.75391,17875.77344,18595.78711,2.52903E+11,1,17,4,2020
18-04-20,18880.33398,17882.08008,18593.35547,17885.89453,2.41293E+11,1,18,4,2020
19-04-20,18340.49609,16793.76563,17874.20313,16970.55664,2.64368E+11,1,19,4,2020
20-04-20,17201.70313,16790.6582,16951.98242,17067.87695,2.46325E+11,1,20,4,2020
21-04-20,17964.55078,16947.24023,17059.04297,17826.44141,2.49838E+11,1,21,4,2020
22-04-20,18291.51758,17359.33203,17839.42969,17979.9668,2.98952E+11,1,22,4,2020
23-04-20,18459.57422,17995.27148,18004.12109,18298.66602,2.45952E+11,1,23,4,2020
24-04-20,18650.27734,18168.00977,18298.05664,18290.95313,2.46305E+11,1,24,4,2020
25-04-20,18921.76953,18261.30078,18285.22461,18785.50781,2.7449E+11,1,25,4,2020
26-04-20,18978.47656,18099.45703,18792.2207,18534.08789,3.01537E+11,1,26,4,2020
27-04-20,18582.81445,18267.11133,18533.85938,18538.74805,2.47494E+11,1,27,4,2020
28-04-20,19553.19727,18423.33398,18545.16992,19381.0957,3.62216E+11,1,28,4,2020
